prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2;Choix 3;Choix 4;Choix 5;Choix 6
Susan;Benoit;SusanBenoit@cy-tech.fr;30;16,955;IAP ;IAC ;HPDA ;DS ;FT ;BI
Denis;de;Denisde@cy-tech.fr;30;16,91;DS ;BI ;HPDA ;IAC ;IAP ;FT
Théodore;Nicolas;ThéodoreNicolas@cy-tech.fr;30;16,729;HPDA ;DS ;IAP ;IAC ;BI ;FT
Marguerite;Gauthier;MargueriteGauthier@cy-tech.fr;30;15,884;DS ;IAC ;FT ;BI ;IAP ;HPDA
Stéphane;Ramos;StéphaneRamos@cy-tech.fr;30;15,226;IAC ;DS ;FT ;IAP ;HPDA ;BI
Margaret;Chauvin;MargaretChauvin@cy-tech.fr;30;15,209;DS ;BI ;HPDA ;IAC ;IAP ;FT
Philippine-Maryse;Pruvost;Philippine-MarysePruvost@cy-tech.fr;30;15,136;IAP ;HPDA ;DS ;IAC ;FT ;BI
Rémy;Berger;RémyBerger@cy-tech.fr;30;15,052;DS ;BI ;IAC ;FT ;IAP ;HPDA
Joseph;Richard;JosephRichard@cy-tech.fr;30;15,036;DS ;FT ;BI ;HPDA ;IAC ;IAP
Jules;Tanguy;JulesTanguy@cy-tech.fr;30;15,016;DS ;FT ;IAC ;BI ;HPDA ;IAP
Arthur;Duval;ArthurDuval@cy-tech.fr;30;14,961;IAC ;DS ;BI ;FT ;IAP ;HPDA
Marine;Alves-Buisson;MarineAlves-Buisson@cy-tech.fr;30;14,93;DS ;IAC ;FT ;BI ;HPDA ;IAP
Manon;Sauvage;ManonSauvage@cy-tech.fr;30;14,82;DS ;BI ;HPDA ;IAC ;FT ;IAP
Thibaut;Turpin;ThibautTurpin@cy-tech.fr;30;14,812;DS ;IAC ;BI ;FT ;IAP ;HPDA
Élodie;Lopes;ÉlodieLopes@cy-tech.fr;30;14,793;IAP ;HPDA ;IAC ;DS ;FT ;BI
Julie;Perret;JuliePerret@cy-tech.fr;30;14,717;DS ;FT ;IAC ;BI ;HPDA ;IAP
Gilles;Leleu;GillesLeleu@cy-tech.fr;30;14,7;DS ;BI ;FT ;IAC ;IAP ;HPDA
Christiane;Gomes;ChristianeGomes@cy-tech.fr;30;14,689;DS ;IAP ;IAC ;HPDA ;FT ;BI
Théophile;Carre-Charles;ThéophileCarre-Charles@cy-tech.fr;30;14,661;DS ;IAC ;BI ;FT ;IAP ;HPDA
Emmanuel;de;Emmanuelde@cy-tech.fr;30;14,449;IAC ;DS ;BI ;FT ;HPDA ;IAP
Alphonse;Gomes;AlphonseGomes@cy-tech.fr;30;14,386;DS ;FT ;IAC ;BI ;IAP ;HPDA
Benjamin;Rocher;BenjaminRocher@cy-tech.fr;30;14,354;DS ;HPDA ;FT ;IAP ;IAC ;BI
Colette;Peron;ColettePeron@cy-tech.fr;30;14,305;DS ;IAC ;FT ;BI ;IAP ;HPDA
Claude;De;ClaudeDe@cy-tech.fr;30;14,235;DS ;FT ;IAC ;IAP ;BI ;HPDA
Constance;du;Constancedu@cy-tech.fr;30;14,187;IAP ;HPDA ;IAC ;DS ;FT ;BI
Gilbert;Pottier-Lamy;GilbertPottier-Lamy@cy-tech.fr;30;14,125;DS ;FT ;IAC ;HPDA ;IAP ;BI
Marianne-Alex;Carlier;Marianne-AlexCarlier@cy-tech.fr;30;14,103;DS ;IAC ;FT ;BI ;IAP ;HPDA
Adèle;Le;AdèleLe@cy-tech.fr;30;14,06;DS ;BI ;IAC ;FT ;IAP ;HPDA
Augustin;du;Augustindu@cy-tech.fr;30;14,018;IAC ;FT ;DS ;BI ;IAP ;HPDA
Jeannine;Henry-Petitjean;JeannineHenry-Petitjean@cy-tech.fr;30;13,969;IAP ;HPDA ;IAC ;DS ;BI ;FT
Augustin;Laroche;AugustinLaroche@cy-tech.fr;30;13,948;IAC ;DS ;FT ;BI ;IAP ;HPDA
Denis;Julien;DenisJulien@cy-tech.fr;30;13,924;FT ;DS ;IAP ;IAC ;HPDA ;BI
Chantal-Alexandria;Riviere;Chantal-AlexandriaRiviere@cy-tech.fr;30;13,87;DS ;IAC ;FT ;BI ;HPDA ;IAP
Benoît;Le;BenoîtLe@cy-tech.fr;30;13,868;DS ;IAC ;FT ;BI ;HPDA ;IAP
Alexandrie;Robin;AlexandrieRobin@cy-tech.fr;30;13,813;HPDA ;IAP ;DS ;IAC ;BI ;FT
Claire;Courtois;ClaireCourtois@cy-tech.fr;30;13,809;FT ;DS ;BI ;IAC ;HPDA ;IAP
Emmanuelle;Vallee;EmmanuelleVallee@cy-tech.fr;30;13,665;DS ;IAC ;FT ;BI ;IAP ;HPDA
Bertrand;Jacquot;BertrandJacquot@cy-tech.fr;30;13,646;DS ;IAC ;FT ;BI ;IAP ;HPDA
Agnès;Torres;AgnèsTorres@cy-tech.fr;30;13,61;DS ;FT ;IAC ;BI ;IAP ;HPDA
Jean;Le;JeanLe@cy-tech.fr;30;13,539;DS ;FT ;IAC ;IAP ;BI ;HPDA
Olivier;Valentin;OlivierValentin@cy-tech.fr;30;13,458;DS ;FT ;IAC ;BI ;IAP ;HPDA
Roger;Dupuis;RogerDupuis@cy-tech.fr;30;13,343;DS ;IAC ;FT ;BI ;HPDA ;IAP
Madeleine;Loiseau;MadeleineLoiseau@cy-tech.fr;30;13,319;DS ;IAC ;FT ;IAP ;HPDA ;BI
Frédérique;Hamon;FrédériqueHamon@cy-tech.fr;30;13,217;IAC ;DS ;BI ;FT ;HPDA ;IAP
Lorraine;Arnaud;LorraineArnaud@cy-tech.fr;30;13,094;IAC ;DS ;FT ;BI ;IAP ;HPDA
Étienne;Bazin;ÉtienneBazin@cy-tech.fr;30;13,383;DS ;FT ;IAC ;BI ;BI ;IAP
David;de;Davidde@cy-tech.fr;30;13,067;FT ;DS ;IAC ;IAP ;HPDA ;BI
Laure;Hoarau;LaureHoarau@cy-tech.fr;30;12,951;IAP ;IAC ;DS ;HPDA ;FT ;BI
Claude;Breton;ClaudeBreton@cy-tech.fr;30;12,84;IAP ;IAC ;FT ;HPDA ;DS ;BI
Stéphane;Perrot;StéphanePerrot@cy-tech.fr;30;12,741;DS ;FT ;IAC ;BI ;IAP ;HPDA
Alexandria;Dufour;AlexandriaDufour@cy-tech.fr;30;12,643;IAP ;HPDA ;DS ;IAC ;BI ;FT
Céline;Marty;Céline
