Prenom;Nom;Email;Pseudo;Mdp;Statut;pp;filiere
Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;Gabriel-VictorDupre;$2y$10$/BjGZcEW6AhNe/B9I8ayje2elJqGZXoCiozIjJrYTlM/5ocsfOqli;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Marc;Ribeiro;MarcRibeiro@cy-tech.fr;MarcRibeiro;$2y$10$0NSWvSqYJTpUxuHF/4pJo.TpQyVuoDrP7K3kKgJWWjrqB2Au8oQ6e;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Susan;Sauvage;SusanSauvage@cy-tech.fr;SusanSauvage;$2y$10$1QROU78fBWqtmgqlu8oQE.CENPuLqflnBTMccAp36YzOhcv0t.ALq;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Denis-Adrien;Alves;Denis-AdrienAlves@cy-tech.fr;Denis-AdrienAlves;$2y$10$Te2yzOKji89L.gcgdyG.nOa5iV0Fk4MYnLtHqn7pfkm0orYSQAJFS;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Michel;Levy;MichelLevy@cy-tech.fr;MichelLevy;$2y$10$LfAaY7k1StuD83a3QV1w7u6vMG5QDlmzvJnQRwX8copQAZ.BdXOyq;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Adélaïde;Boulay;AdélaïdeBoulay@cy-tech.fr;AdélaïdeBoulay;$2y$10$/lCmdBaVg8BrOSjTnLlLIeo4jEfougt7FQvB8yk4C5qT3NHzNcjae;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Marthe;Seguin;MartheSeguin@cy-tech.fr;MartheSeguin;$2y$10$1AIc9LqfnyvyvQRJFm1ztO.SeTApiTHfbvveC/x.z/bZdppcdGjy2;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Noël;Jacquet;NoëlJacquet@cy-tech.fr;NoëlJacquet;$2y$10$BksoiG3eIxBQUP77vGV9gOxx3LpOKCMyIVS5aOFsfLQHzH712Zdfa;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Monique;Mallet;MoniqueMallet@cy-tech.fr;MoniqueMallet;$2y$10$UqfP0w7xSmiDCh1lCqVOH.aLsU6LT5akTkwFt2y2RAJESNjwDGpzG;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Charles;Lamy-Besson;CharlesLamy-Besson@cy-tech.fr;CharlesLamy-Besson;$2y$10$F94Fng5vugrnWHX8mB/nPOei5q3gToUYUfgryeut2wg7X8OiBNLUO;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
François;Herve;FrançoisHerve@cy-tech.fr;FrançoisHerve;$2y$10$Gn0MhOQnhEc9HJDMSbvU6eFRTeokA5HNWRebB2OaJJWT6f1NUxHNa;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Marine;Hamel;MarineHamel@cy-tech.fr;MarineHamel;$2y$10$BrqAb9OPlnAEHD677V9c/uNhrOWIZeJ1FqUuL9OXZJymwRfQoXVem;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Caroline;Marie;CarolineMarie@cy-tech.fr;CarolineMarie;$2y$10$BFkukfQzp06HcVpOHmcsQ.NG0wF9Gp6/yjRLlonYmKm8KLS8w4XJK;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Jeannine;Lemaitre;JeannineLemaitre@cy-tech.fr;JeannineLemaitre;$2y$10$NLSX9PRBVli1gDMCbQoeL.w5cxa.RGV601PGtYT/DX5F9zoWzvQMC;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Joséphine;Humbert;JoséphineHumbert@cy-tech.fr;JoséphineHumbert;$2y$10$ZY9uM4Ans3/5NQKMA.Pe5OlFcgK/3Ac0dPTbXG.a5IoGP2BcUXSyC;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Benoît;Lenoir;BenoîtLenoir@cy-tech.fr;BenoîtLenoir;$2y$10$X0lAx5UOS9SYg6BG2fYVE.k9aXJvaI3UV46VHZnulurlCtano7dWO;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Pénélope;Marty;PénélopeMarty@cy-tech.fr;PénélopeMarty;$2y$10$CY3taFKi.iRYhmWRXwIzWuor4YCR6ttfBxLwgSF/MvGseE0e/zHRW;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
Alfred;Ramos;AlfredRamos@cy-tech.fr;AlfredRamos;$2y$10$YXBiHUeapXZAaC4TqDwC0OBgMGzqY52yIromkw78tovf7MzbfHJ2G;eleves;https://t3.ftcdn.net/jpg/03/46/83/96/360_F_346839683_6nAPzbhpSkIpb8pmAwufkC7c5eD7wYws.jpg;GSI
